标准水听器文件
标准水听器编号:D140-18868
频率(Hz),灵敏度(dB)
1000,-210.7
2000,-211.3
3000,-210.4
4000,-211.0
5000,-211.0
6000,-211.4
7000,-210.6
8000,-210.1
9000,-210.3
10000,-210.0
11000,-210.0
12000,-210.0
13000,-210.6
14000,-210.4
15000,-210.4
16000,-210.4
17000,-210.1
18000,-210.0
19000,-210.2
20000,-210.1
25000,-211.0
30000,-212.3
35000,-212.6
40000,-212.5
45000,-212.7
50000,-213.3
55000,-212.6
60000,-215.0
65000,-216.0
70000,-215.9
75000,-215.7
80000,-215.8
85000,-215.7
90000,-215.6
95000,-215.1
100000,-214.8
105000,-214.7
110000,-214.0
115000,-212.9
120000,-211.9
125000,-210.5
130000,-209.9
135000,-210.6
140000,-210.0
145000,-209.2
150000,-208.0
155000,-206.2
160000,-204.6
165000,-203.7
170000,-204.1
175000,-205.7
180000,-208.0
185000,-210.5
190000,-213.3
195000,-215.0
200000,-216.5
